"REF_NO","children","age_band","status","occupation","occupation_partner","home_status","family_income","self_employed","self_employed_partner","year_last_moved","TVarea","post_code","post_area","Average.Credit.Card.Transaction","Balance.Transfer","Term.Deposit","Life.Insurance","Medical.Insurance","Average.A.C.Balance","Personal.Loan","Investment.in.Mutual.Fund","Investment.Tax.Saving.Bond","Home.Loan","Online.Purchase.Amount","Revenue.Grid","gender","region","Investment.in.Commudity","Investment.in.Equity","Investment.in.Derivative","Portfolio.Balance"
3406,"Zero","45-50","Partner","Housewife","Professional","Own Home","<15,000, >=12,500","No","Yes",1981,"Grampian","AB52 6GA","AB52",174.45,0,24.99,13.99,0,0,0,0.01,0,4.99,0,1,"Female","Scotland",42.69,0.83,2.33,43.34
1145,"Zero","41-45","Partner","Other","Unknown","Own Home","< 8,000, >= 4,000","No","Yes",1975,"Yorkshire","NG20 8DZ","NG20",0,25.99,27.49,224.4,127.9,36.45,0,0.02,0,7.99,7.49,2,"Female","East Midlands",81.16,8.66,64.8,183.28
9838,"3","36-40","Partner","Professional","Housewife","Own Home",">=35,000","No","No",1998,"Meridian","SP5 2JZ","SP5",0,0,0,0,0,0,24.98,45.44,0,0,0,2,"Male","South West",0,11.74,11.74,-5.37
11165,"Zero","22-25","Partner","Secretarial/Admin","Manual Worker","Own Home","<30,000, >=27,500","No","No",1995,"Yorkshire","S35 0BZ","S35",27.99,0,186.45,21,60.44,0,0,0,0,4.5,0,2,"Female","Unknown",59.18,0.75,13.57,75.84
675,"Zero","55-60","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1959,"HTV","SA5 5DR","SA5",11.49,69.47,14.99,41.43,1.54,29.49,0,23.97,0,0,137.37,1,"Male","Wales",27.78,31.81,16.07,81.49
3822,"Zero","41-45","Partner","Secretarial/Admin","Manual Worker","Own Home",">=35,000","Yes","No",1987,"Carlton","M6 7XN","M6",0,0,0,0,19.98,0.01,0,29.44,0,0,122.44,1,"Female","North West",4,25.32,8.24,52.17
9757,"Zero","65-70","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1994,"Grampian","AB52 6YQ","AB52",0,0,0,41.93,0,24.48,0,0,1,0,0,2,"Female","Scotland",8.39,4.25,11.24,6.37
4188,"2","26-30","Partner","Other","Secretarial/Admin","Own Home","<17,500, >=15,000","No","No",1984,"Central","B98 0JR","B98",0,42.47,0,164.4,30.95,15.95,28.97,30.45,2.49,15.96,61.45,1,"Female","West Midlands",47.56,25.88,45.54,104
8180,"Zero","55-60","Partner","Retired","Retired","Own Home","<27,500, >=25,000","No","Yes",1997,"Granada","BB7 9BU","BB7",0,18.44,0,82.9,0,10.52,0,0,0,0,0,2,"Male","North West",20.27,1.75,15.57,12.12
2593,"Zero","45-50","Partner","Business Manager","Professional","Own Home","<27,500, >=25,000","No","No",1975,"Tyne Tees","NE63 0BB","NE63",39.48,0,0,0,90.91,0,0,0,0,0,0,2,"Male","North",26.08,0,15.15,72.23
2823,"1","31-35","Partner","Secretarial/Admin","Business Manager","Own Home","< 4,000","No","No",1991,"Anglia","MK7 7HH","MK7",0,0,35,303.08,0,146.24,106.2,545,92.47,70.88,12.98,2,"Female","South East",67.62,162.3,198.83,428.3
9530,"Zero","71+","Partner","Retired","Retired","Own Home","<17,500, >=15,000","No","No",1981,"Meridian","L8 0PN","L8",0,143.77,0,313.11,0,100.44,0,13.97,19.49,11.01,480.27,1,"Female","North West",91.38,104.2,74.5,223.35
9675,"Zero","41-45","Partner","Secretarial/Admin","Manual Worker","Own Home","<30,000, >=27,500","No","Yes",1976,"Tyne Tees","TS25 2AF","TS25",0,164.98,0,57.98,0,13.47,0,31.52,0,1.99,0,2,"Female","North",44.59,7.83,17.16,51.56
8718,"Zero","55-60","Partner","Unknown","Retired","Own Home","<17,500, >=15,000","Yes","No",1989,"Yorkshire","PE21 7HW","PE21",0,0.01,35.96,16.98,0,39.96,17.98,8.95,0,0,0,2,"Female","East Midlands",10.59,11.15,13.98,49.6
2361,"Zero","55-60","Partner","Professional","Retired","Own Home","<10,000, >= 8,000","No","No",1972,"Carlton","IG7 4BT","IG7",326.35,56.48,414.33,97.45,172.36,68.95,0,0,0,5.48,0,2,"Female","South East",213.39,12.41,56.46,288.89
4402,"2","36-40","Partner","Secretarial/Admin","Other","Own Home","<17,500, >=15,000","No","No",1985,"TV South West","DT3 6PT","DT3",0,0,92.45,0,0,39.99,245.81,9.99,0,0,84.98,2,"Female","South West",18.49,63.46,49.3,106.72
6216,"Zero","31-35","Partner","Retired","Retired","Own Home","<15,000, >=12,500","No","No",1970,"Carlton","GU3 2JJ","GU3",229.91,168.96,13.45,62.46,23.46,143.37,0,175.3,31.98,3.49,19.98,1,"Female","South East",99.65,62.35,72.76,232.19
359,"1","36-40","Single/Never Married","Housewife","Unknown","Own Home","<27,500, >=25,000","No","No",1996,"Carlton","HA5 1PF","HA5",0,0,247.4,303.35,19.47,129.95,11.99,297.28,0,35.46,0,2,"Female","South East",114.04,79.11,127.01,324.74
6719,"1","45-50","Partner","Manual Worker","Manual Worker","Own Home","<12,500, >=10,000","No","No",1976,"TV South West","EX39 3JN","EX39",16.48,39.97,0,87.9,56.47,171.84,14,194.82,1,10.99,39.48,1,"Female","South West",40.16,72.02,87.67,230.52
7332,"3","41-45","Partner","Professional","Professional","Own Home",">=35,000","No","Yes",1994,"Scottish TV","EH39 4QW","EH39",108.41,368.77,206.38,382.13,73.91,118.98,144.37,263.81,5.47,68.3,79.02,2,"Male","Scotland",227.92,113.33,164.78,464.37
2080,"Zero","51-55","Widowed","Retired","Retired","Own Home","<15,000, >=12,500","No","No",1962,"Tyne Tees","TS18 5HE","TS18",47.48,0.01,99,0,0,14.97,0,9.49,0,10.48,0,2,"Female","North",29.3,5.82,4.08,62.65
3715,"Zero","36-40","Partner","Unknown","Professional","Own Home",">=35,000","Yes","No",1987,"Granada","CW8 2EE","CW8",33.98,44.99,0,0,26.47,42.98,5.99,41.96,29.95,6.48,267.38,1,"Female","North West",21.09,65.79,24.56,86.74
6725,"Zero","65-70","Single/Never Married","Retired","Unknown","Own Home","< 8,000, >= 4,000","No","No",1996,"Meridian","M20 7NF","M20",0,0.02,0,0,17.47,39.97,0,19.96,23.96,6.98,0,2,"Female","North West",3.5,15.15,16.89,95.84
143,"Zero","61-65","Divorced/Separated","Retired","Unknown","Rent Privately","< 4,000","No","No",1997,"Granada","WA11 9PS","WA11",67.46,0,24.49,0,0,0,0,0,0,0,18.49,2,"Female","North West",18.39,3.08,0,-2.71
50,"Zero","61-65","Partner","Professional","Professional","Own Home","<25,000, >=22,500","No","No",1968,"HTV","SA6 6AT","SA6",0,94.44,0,0.53,0,5.99,0,31.47,0,0,0,2,"Male","Wales",18.99,6.24,6.33,-0.63
2447,"1","31-35","Partner","Professional","Professional","Own Home","<25,000, >=22,500","No","No",1988,"Meridian","M34 5AP","M34",0,49.97,0,11.47,0,69.47,0,31.46,0,0,11.19,2,"Female","North West",12.29,18.69,18.73,36.69
8498,"Zero","51-55","Partner","Professional","Retired","Own Home","<25,000, >=22,500","No","No",1990,"Central","L18 3HT","L18",39.99,44.49,0,155.44,0,0,0,0,0,0,0,2,"Male","North West",47.98,0,25.91,-8
6458,"1","45-50","Partner","Manual Worker","Manual Worker","Own Home","<22,500, >=20,000","No","No",1992,"Yorkshire","S35 2ZN","S35",0,0,0,0,0,10.48,13.98,0,25.44,10.7,13.99,2,"Female","Unknown",0,12.43,8.32,11.98
7,"Zero","55-60","Partner","Secretarial/Admin","Manual Worker","Own Home","<17,500, >=15,000","No","Yes",1984,"Anglia","IP24 1AY","IP24",0,125.45,0,129.96,0,0,0,88.95,0,0,0,2,"Female","East Anglia",51.08,14.83,36.49,72.3
3619,"3","31-35","Partner","Unknown","Unknown","Own Home","<22,500, >=20,000","Yes","Yes",1998,"Anglia","L9 8QG","L9",0,0,0,29.48,0,22.48,193.82,23.48,32.47,15,53.96,2,"Female","North West",5.9,56.87,50.29,37.58
444,"1","45-50","Partner","Professional","Professional","Rent Privately",">=35,000","No","No",1998,"Carlton","PR10 8EW","PR10",154.93,114.96,149.46,144.43,65.96,195.4,293.24,135.9,51.92,57.91,14.98,2,"Male","North West",125.95,124.89,147.81,406.24
11440,"Zero","51-55","Partner","Secretarial/Admin","Other","Own Home","<27,500, >=25,000","No","No",1979,"Anglia","NN15 5BL","NN15",361.39,381.91,0,321.92,20.98,63.88,341.2,117.93,54.57,0,159.44,2,"Female","East Midlands",217.24,122.84,153.41,498.04
10979,"2","36-40","Partner","Unknown","Manual Worker","Own Home","<27,500, >=25,000","No","No",1986,"Granada","CW12 1PA","CW12",48.95,0.02,49.98,55.98,10,14.95,13.99,25.45,0,14.99,0,2,"Female","North West",32.99,11.56,20.06,44.31
8997,"2","36-40","Partner","Professional","Professional","Own Home",">=35,000","No","No",1995,"Unknown","CH62 6BU","CH62",44.98,9.46,72.96,130.43,67.44,61.42,21.48,40.95,2.49,0,51.96,2,"Male","Unknown",65.05,29.72,54.04,175.14
5783,"3","36-40","Partner","Manual Worker","Manual Worker","Own Home",">=35,000","Yes","Yes",1991,"Meridian","M7 5EQ","M7",0,24.99,0,25.99,0,21.97,13.99,11.99,1,4.49,6.98,2,"Male","North West",10.2,10.07,12.49,56.03
10752,"Zero","45-50","Single/Never Married","Professional","Unknown","Own Home","<25,000, >=22,500","No","No",1982,"TV South West","TQ1 1SH","TQ1",0,0,0,0,0,0,0,0,0,0,0,2,"Female","South West",0,0,0,31.56
8154,"Zero","55-60","Partner","Other","Professional","Own Home","<17,500, >=15,000","No","No",1977,"Meridian","SP4 8EN","SP4",0,0,0,0,0,0,0,35.98,0,0,0,2,"Female","South West",0,6,6,16.64
8053,"Zero","45-50","Partner","Business Manager","Manual Worker","Own Home",">=35,000","No","No",1977,"Meridian","TN27 8DN","TN27",0,25.99,0,62.4,9.48,17.93,33.97,18.98,45.88,4.49,127.83,1,"Female","South East",19.57,41.51,31.44,96.84
8176,"Zero","45-50","Divorced/Separated","Secretarial/Admin","Professional","Own Home","<30,000, >=27,500","No","No",1984,"Yorkshire","HD6 3BU","HD6",0,26.98,49.99,36.97,0,34.46,0,31.47,4.99,0,0,2,"Female","Unknown",22.79,11.82,17.98,49.33
9492,"Zero","55-60","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1989,"TV South West","EX32 0JJ","EX32",0,54.48,0,178.91,0,32.98,0,0,0,0,0,2,"Female","South West",46.68,5.5,35.32,107.41
10715,"Zero","26-30","Single/Never Married","Professional","Unknown","Own Home",">=35,000","No","No",1995,"Central","NG13 8UG","NG13",19.99,0,34.99,116.45,0,74.9,0,13.48,0,0,36.98,2,"Female","East Midlands",34.29,20.89,34.14,97.55
819,"Zero","71+","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1982,"Granada","BB10 3DN","BB10",0,0,0,0,28.66,44.48,0,0,0,0,0,2,"Male","North West",5.73,7.41,12.19,-50.11
3867,"Zero","45-50","Single/Never Married","Business Manager","Business Manager","Own Home",">=35,000","No","No",1993,"Granada","BB12 7HS","BB12",174.48,103.47,0,11.99,19.99,0,0,59.43,0,0,0,1,"Male","North West",61.99,9.91,15.24,104.33
10032,"Zero","61-65","Partner","Retired","Other","Own Home","<17,500, >=15,000","No","No",1995,"Unknown","GU46 6HQ","GU46",64.48,0,0,0,0,0,0,57.98,0,0,0,2,"Female","South East",12.9,9.66,9.66,41.76
4216,"Zero","61-65","Partner","Retired","Retired","Own Home","<17,500, >=15,000","No","No",0,"Central","GL51 7BH","GL51",0,0,0,14.51,0,0,0,40.01,0,0,0.99,2,"Male","South West",2.9,6.83,9.09,11.22
5566,"Zero","71+","Partner","Unknown","Unknown","Own Home","< 8,000, >= 4,000","No","No",1991,"Meridian","BH4 8BS","BH4",0,29.49,24.99,0,9.49,0,0,0,0,15.96,0,2,"Female","South West",12.79,2.66,1.58,40.66
1542,"Zero","61-65","Widowed","Retired","Unknown","Own Home","<10,000, >= 8,000","No","No",1965,"Central","DY9 0PD","DY9",0,126.96,0,128.94,0,29.99,36.48,177.34,39.48,0,0,2,"Female","West Midlands",51.18,47.22,68.71,132.39
2614,"Zero","61-65","Partner","Retired","Retired","Own Home","<22,500, >=20,000","No","No",1986,"Meridian","SO31 7TT","SO31",50.48,119.46,0,50.98,0,5.99,0,66.43,14.98,0,0,2,"Female","South East",44.18,14.57,23.06,86.69
4952,"Zero","41-45","Partner","Manual Worker","Manual Worker","Own Home","<27,500, >=25,000","No","No",1989,"Meridian","L13 9EZ","L13",0,0,0,33.99,0,9.97,0,0,0,0,0,2,"Male","North West",6.8,1.66,7.33,17.16
1791,"Zero","41-45","Partner","Professional","Professional","Own Home",">=35,000","No","No",1986,"Central","HP18 9PX","HP18",14.99,34.99,0,27.98,40.47,0,23.47,37.47,4.49,0,52.46,2,"Female","South East",23.69,19.65,22.31,39.16
11242,"2","36-40","Partner","Other","Business Manager","Own Home","<20,000, >=17,500","No","No",1980,"Granada","WA9 3HL","WA9",0,0.01,0,0.02,0,91.96,0,0,0,1.24,0,2,"Female","North West",0.01,15.53,15.33,-8.54
8971,"Zero","26-30","Single/Never Married","Professional","Professional","Own Home",">=35,000","No","No",1997,"Carlton","L19 8SW","L19",0,0,0,0,0,0.01,0,0,0,0,0,2,"Female","North West",0,0,0,18.43
9578,"Zero","55-60","Widowed","Business Manager","Unknown","Own Home","<20,000, >=17,500","No","No",1966,"Central","NG9 8LH","NG9",0,34.99,0,29.99,0,23.45,0,62.45,0,0,0,2,"Female","East Midlands",13,14.32,19.32,42.82
3507,"Zero","61-65","Partner","Housewife","Unknown","Own Home","<10,000, >= 8,000","No","No",1953,"Tyne Tees","TS10 5NN","TS10",19.99,29.99,0,17.99,0,0,0,0,0,0,0,2,"Female","North",13.59,0,3,-1.54
11088,"1","41-45","Partner","Secretarial/Admin","Manual Worker","Own Home","<27,500, >=25,000","No","No",1981,"Yorkshire","DN3 1NL","DN3",19.98,159.44,9.99,91.96,68.44,0,45.97,17.49,0,0,439.48,1,"Female","Unknown",69.96,83.82,37.31,178.46
1511,"Zero","51-55","Divorced/Separated","Secretarial/Admin","Business Manager","Own Home",">=35,000","No","No",1990,"Central","OX14 2QY","OX14",0,180.47,0,81.47,9.49,5.99,0,35.47,0,7.99,0,2,"Female","South East",54.29,8.24,22.07,43.3
11006,"Zero","61-65","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1911,"Meridian","PO13 9RE","PO13",7.99,42.97,49.98,58.47,32.45,63.92,0,62.46,0,0,13.49,2,"Female","South East",38.37,23.31,36.22,128.1
10583,"Zero","45-50","Divorced/Separated","Other","Unknown","Rent from Council/HA","<10,000, >= 8,000","No","No",1986,"HTV","SA10 8PD","SA10",49.96,172.96,0,136.42,36.96,60.31,0,33.96,0,0,41.97,2,"Female","Wales",79.26,22.71,44.61,170.33
7824,"Zero","41-45","Partner","Secretarial/Admin","Professional","Own Home","<30,000, >=27,500","No","No",1986,"Carlton","GU14 9HT","GU14",0,115.95,159.91,194.91,14.99,39.98,0,7.99,0,0,0,2,"Female","South East",97.15,8,42.98,157.09
9059,"Zero","41-45","Single/Never Married","Manual Worker","Unknown","Own Home","<12,500, >=10,000","No","No",1997,"Border","CA7 9RE","CA7",0,0,0,0,124.96,0,0,0,7.99,0,0,2,"Female","North",24.99,1.33,22.16,12.78
4815,"Zero","71+","Partner","Retired","Retired","Own Home","<25,000, >=22,500","No","No",1984,"Central","CV22 6PA","CV22",14.98,0.01,100.47,13.97,9.99,39.47,0,53.96,0,0,11.49,2,"Female","West Midlands",27.88,17.49,19.57,51.21
10292,"Zero","22-25","Single/Never Married","Manual Worker","Unknown","Own Home","<15,000, >=12,500","No","No",1991,"Central","LE9 7GL","LE9",0,0,0,0,0,0,0,0,0,0,0,2,"Male","East Midlands",0,0,0,-14.69
1509,"Zero","45-50","Partner","Professional","Professional","Own Home",">=35,000","Yes","No",1993,"HTV","SN8 3EQ","SN8",19.99,57.92,9.99,114.39,7.99,14.97,44.43,22.94,0,0,1,2,"Male","South West",42.06,13.89,34.12,106.06
2034,"Zero","71+","Widowed","Retired","Retired","Rent from Council/HA","< 8,000, >= 4,000","No","No",1985,"Granada","WA5 5RT","WA5",0,109.45,14.48,72.44,0,26.43,0,57.44,0,0,37.94,2,"Female","North West",39.27,20.3,26.05,79.34
411,"Zero","45-50","Partner","Secretarial/Admin","Professional","Own Home","<30,000, >=27,500","No","No",1969,"Grampian","AB24 2SB","AB24",0,0,0,11.99,0,85.96,16.98,0,5.45,0,0,2,"Female","Scotland",2.4,18.07,20.06,100.75
4061,"2","45-50","Partner","Business Manager","Secretarial/Admin","Own Home","<30,000, >=27,500","No","No",1983,"Yorkshire","S21 4GQ","S21",19.99,0,64.98,153.96,58.45,6.47,271.27,193.36,3.99,49.46,0,2,"Male","Unknown",59.48,87.43,114.58,257.52
5398,"Zero","55-60","Partner","Retired","Housewife","Own Home","<30,000, >=27,500","No","No",1994,"Anglia","PE37 8HQ","PE37",26.98,0,0,0,10.49,31.98,0,32.97,0,9.9,0,2,"Male","East Anglia",7.49,12.48,12.57,-8.6
9858,"Zero","41-45","Single/Never Married","Business Manager","Unknown","Own Home","<20,000, >=17,500","No","No",1995,"Meridian","SO50 9BS","SO50",227.96,0,0,0,3.49,0,0,0,0,0,0,1,"Female","South East",46.29,0,0.58,30.27
3117,"Zero","65-70","Widowed","Retired","Unknown","Rent from Council/HA","< 4,000","No","No",1953,"Central","GL54 5DQ","GL54",0,158.33,31.46,267.23,10.47,171.4,0,22.96,0,0,5,2,"Female","South West",93.5,33.23,78.68,141.52
2851,"1","31-35","Partner","Secretarial/Admin","Professional","Own Home",">=35,000","No","No",1991,"Central","CV35 8BP","CV35",4.99,94.47,0,141.44,0,68.9,67.93,15.48,30.66,44.83,21.97,2,"Female","West Midlands",48.18,41.63,54.07,165.2
5758,"3","36-40","Partner","Manual Worker","Manual Worker","Own Home","<17,500, >=15,000","Yes","No",1984,"Tyne Tees","DL10 7HL","DL10",13.99,0,0,0,0,0,0,0,19.99,14.99,0,2,"Female","Unknown",2.8,5.83,3.33,-20.47
11503,"1","45-50","Partner","Business Manager","Professional","Own Home","<30,000, >=27,500","No","No",1975,"Granada","OL2 5HF","OL2",0,34.99,0,86.97,0,0,11.99,0,0,0,0,2,"Female","North West",24.39,2,16.49,84.08
5805,"Zero","55-60","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1971,"Granada","PR2 9TR","PR2",0,0,29.98,0,39.49,4.99,0,33.96,0,19.97,11.48,2,"Female","North West",13.89,11.73,13.07,37.4
1052,"Zero","61-65","Partner","Retired","Retired","Own Home","<27,500, >=25,000","No","No",1969,"Scottish TV","EH22 3LR","EH22",173.25,150.94,6.01,95.96,0,11.47,0,0,0,0,0,1,"Female","Scotland",85.23,1.91,17.91,88.59
394,"2","31-35","Partner","Professional","Professional","Own Home",">=35,000","No","Yes",1994,"Scottish TV","G77 6JU","G77",0,0,0,0,0,23.44,0,35.44,0,8.74,11.47,2,"Female","Scotland",0,13.18,9.81,18.53
6854,"1","26-30","Single/Never Married","Manual Worker","Unknown","Own Home","<20,000, >=17,500","No","No",1997,"Yorkshire","HD4 6UB","HD4",49.96,124.45,259.9,171.3,89.42,123.77,45.47,187.87,25.98,44.9,7.49,2,"Female","Unknown",139.01,72.58,107.3,338.15
10652,"Zero","26-30","Single/Never Married","Professional","Secretarial/Admin","Own Home","<20,000, >=17,500","No","No",1996,"Central","LE67 5AZ","LE67",0,159.96,0,170.42,0,80.44,82.92,366.67,42.99,23.94,6.49,2,"Female","East Midlands",66.08,100.58,123.91,252.55
5374,"Zero","31-35","Partner","Housewife","Manual Worker","Own Home","<15,000, >=12,500","No","No",1984,"Granada","LA9 7LR","LA9",0,0,0,0.52,0,4.49,0,0,0,0,0,2,"Female","North",0.1,0.75,0.84,-51.04
11145,"Zero","26-30","Single/Never Married","Secretarial/Admin","Unknown","Own Home","<10,000, >= 8,000","No","No",1968,"Tyne Tees","NE32 5YU","NE32",0,0,0,13.49,15.97,0,0,0,0,0,0,2,"Female","North",5.89,0,4.91,-4.32
1506,"1","51-55","Partner","Secretarial/Admin","Manual Worker","Own Home","<22,500, >=20,000","No","No",1967,"Carlton","WA10 7JL","WA10",124.98,155.45,0,29.98,0,44.97,0,0,7.49,0,0,2,"Female","North West",62.08,8.74,13.74,111.77
11069,"Zero","55-60","Partner","Retired","Manual Worker","Own Home","<17,500, >=15,000","No","No",1988,"Anglia","CM22 6RX","CM22",65.47,0,0,0,38.96,0,0,0,4.99,0,0,2,"Female","South East",20.89,0.83,7.33,38.18
607,"Zero","61-65","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1946,"Meridian","BN22 8RB","BN22",0,139.49,71.47,43.46,11.18,0.01,0,27.99,0,0,0,2,"Female","South East",53.12,4.67,13.77,33.84
9257,"2","31-35","Partner","Secretarial/Admin","Secretarial/Admin","Own Home","<17,500, >=15,000","No","No",1994,"Scottish TV","EH48 2AD","EH48",0,0,0,49.99,0,0,0,0,0,0,0,2,"Male","Scotland",10,0,8.33,33.34
8803,"Zero","55-60","Partner","Professional","Retired","Own Home","<15,000, >=12,500","No","No",1988,"Unknown","CH65 6PH","CH65",27.48,25.99,0,39.99,29.48,0,50.47,56.97,0,0,21.98,2,"Female","Unknown",24.59,21.57,29.49,78.24
10056,"3","26-30","Partner","Unknown","Professional","Own Home",">=35,000","No","Yes",1993,"Scottish TV","G32 0RD","G32",0,24.98,0,24.99,0,19.98,0,17.99,0,0,0,2,"Female","Scotland",9.99,6.33,10.49,41.22
3858,"3","22-25","Divorced/Separated","Business Manager","Unknown","Own Home","<20,000, >=17,500","No","No",1996,"Central","DE21 2LT","DE21",0,0,0,0,0,9.99,0,0,0,0,0,2,"Female","East Midlands",0,1.67,1.67,0.89
2761,"Zero","45-50","Partner","Other","Professional","Own Home","<30,000, >=27,500","No","Yes",1968,"Meridian","RH13 5PD","RH13",0,44.99,6.49,0,0,0,59.69,0,4.49,0,0,2,"Female","South East",10.3,10.7,10.7,57.57
2446,"Zero","65-70","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1977,"Anglia","NR12 8UZ","NR12",0,0,0,0,0,19.99,0,0,0,0,0,2,"Male","East Anglia",0,3.33,3.33,23.17
4213,"Zero","26-30","Partner","Manual Worker","Manual Worker","Own Home","<20,000, >=17,500","No","No",1997,"TV South West","EX13 7HG","EX13",0,28.95,114.98,94.93,0,0,37.98,41.47,1,0,0,2,"Female","South West",47.77,13.41,29.23,82.25
76,"2","36-40","Partner","Professional","Professional","Own Home",">=35,000","No","No",1980,"Tyne Tees","DH8 0EU","DH8",0,94.47,34.48,59.96,7.48,17.47,0,0,14.47,0,0.01,2,"Female","North",39.28,5.33,16.56,80.47
9186,"Zero","41-45","Partner","Housewife","Professional","Own Home",">=35,000","No","No",1994,"Yorkshire","BD16 3JF","BD16",0,126.45,0,106.45,0,101.39,16.99,117.38,49.99,4.99,11.99,1,"Female","Unknown",46.58,50.46,65.37,112.95
10064,"2","36-40","Single/Never Married","Professional","Professional","Own Home",">=35,000","No","No",1997,"Yorkshire","S35 8QU","S35",44.96,0,309.37,244.41,93.42,14.97,49.36,171.38,26.95,18.47,0,2,"Male","Unknown",138.43,46.86,100.08,319.23
4023,"1","41-45","Partner","Housewife","Professional","Own Home","<17,500, >=15,000","No","Yes",1989,"Carlton","RH6 9XJ","RH6",199.92,189.44,0,311.32,28.96,88.79,13.87,173.3,4.42,4,34.93,1,"Female","South East",145.93,53.22,103.44,304.17
3891,"Zero","65-70","Partner","Retired","Retired","Own Home","< 8,000, >= 4,000","No","No",1987,"HTV","TA4 1PW","TA4",0,0,59.98,0,0,0,0,0,0,0,0,2,"Female","South West",12,0,0,27.98
1582,"2","26-30","Partner","Secretarial/Admin","Professional","Own Home",">=35,000","No","No",1998,"TV South West","PL15 7JA","PL15",0,88.93,19.99,53.43,0,38.44,108.41,43.47,5.96,0,40.45,2,"Female","South West",32.47,39.46,41.62,93.59
4937,"2","31-35","Partner","Secretarial/Admin","Manual Worker","Own Home","<27,500, >=25,000","No","No",1997,"Anglia","NN3 7LG","NN3",0,59.98,52.98,75.96,10.99,41.98,99.91,0,19.48,0,25.98,2,"Female","East Midlands",39.98,31.23,41.39,122.1
4733,"Zero","55-60","Partner","Secretarial/Admin","Secretarial/Admin","Own Home","<20,000, >=17,500","No","No",1957,"Granada","M22 5FA","M22",6.99,13.95,0.01,47.91,0,5.45,0,11.46,0,0,0,2,"Female","North West",13.77,2.82,10.8,7.85
6293,"Zero","36-40","Single/Never Married","Secretarial/Admin","Unknown","Own Home","<22,500, >=20,000","No","No",1978,"Tyne Tees","TS22 5AX","TS22",6.99,0,0,40.96,0,7.99,0,13.49,3.49,1.49,0,2,"Female","North",9.59,4.41,10.99,1.29
6545,"Zero","45-50","Partner","Business Manager","Unknown","Own Home","<30,000, >=27,500","No","Yes",1915,"HTV","CF3 0DD","CF3",0,0,9.99,61.47,0,9.99,0,17.49,1,4.99,0,2,"Male","Wales",14.29,5.58,14.99,48.13
8152,"Zero","36-40","Single/Never Married","Secretarial/Admin","Unknown","Own Home","<12,500, >=10,000","No","No",1981,"Scottish TV","G41 3UL","G41",36.95,108.43,24.99,208.91,53.93,276.31,0,87.43,6.47,39.97,15.48,2,"Female","Scotland",86.64,70.94,105.51,256.34
9205,"Zero","61-65","Partner","Retired","Professional","Own Home","<30,000, >=27,500","No","No",1967,"Yorkshire","PE25 3BT","PE25",0,0,0,8.99,0,0,8.99,9.49,0,0,0,2,"Female","East Midlands",1.8,3.08,4.58,22.01
2297,"Zero","41-45","Partner","Unknown","Unknown","Own Home","<17,500, >=15,000","No","No",1992,"Central","ST5 2BN","ST5",0,29.99,0,0,0,0,0,0,0,0,0,2,"Female","West Midlands",6,0,0,-53.42
8177,"Zero","41-45","Divorced/Separated","Business Manager","Unknown","Own Home","<25,000, >=22,500","No","No",1993,"Anglia","LU7 8UY","LU7",0,271.4,0,496.31,7.49,140.88,0,244.83,77.94,46.92,57.95,1,"Male","South East",155.04,94.75,161.24,392.11
2782,"Zero","45-50","Partner","Housewife","Professional","Rent from Council/HA","<30,000, >=27,500","No","No",1995,"Scottish TV","KY8 3DA","KY8",0,190.43,0,166.88,0,58.94,0,179.88,0,0,0,2,"Female","Scotland",71.46,39.8,67.62,154.11
447,"2","41-45","Partner","Manual Worker","Business Manager","Own Home","<30,000, >=27,500","No","No",1986,"Tyne Tees","DL16 7AR","DL16",0,0,0,14.49,9.99,4.99,0,67.35,0,0,19.49,2,"Female","North",4.9,15.31,16.14,71.57
2467,"Zero","18-21","Single/Never Married","Student","Unknown","Live in Parental Hom","<30,000, >=27,500","No","No",1993,"HTV","NP4 0DE","NP4",74.95,27.35,62.4,175.29,66.45,68.4,96.63,115.41,66.47,0,134,1,"Female","Wales",81.29,80.15,98.11,267.73
7902,"Zero","31-35","Partner","Professional","Professional","Own Home",">=35,000","No","No",1998,"HTV","BA12 0AZ","BA12",34.99,24.99,57.48,82.46,68.93,0,0,143.91,0,0,0,2,"Male","South West",53.77,23.99,49.22,168.01
4252,"2","31-35","Divorced/Separated","Professional","Unknown","Own Home","<10,000, >= 8,000","No","No",1987,"Meridian","BH1 3PJ","BH1",107.46,186.45,22.99,233.89,81.39,49.48,0,119.43,0,0,0,2,"Female","South West",126.44,28.15,80.7,225.73
4569,"1","18-21","Single/Never Married","Business Manager","Professional","Live in Parental Hom","<27,500, >=25,000","No","No",1997,"Carlton","KT14 7SU","KT14",0,0,29.99,0,29.99,11.99,72.46,66.97,3.99,0,8.99,2,"Female","South East",12,27.4,30.9,38.52
